"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2020","5,385.65","5,334.45","5,391.10","5,315.35","","1.75%"
"06/04/2020","5,293.15","5,321.05","5,364.10","5,257.65","","-0.23%"
"06/03/2020","5,305.55","5,337.15","5,368.75","5,289.10","","0.68%"
"06/02/2020","5,269.55","5,236.10","5,274.90","5,224.75","","1.34%"
"06/01/2020","5,199.90","5,120.50","5,215.10","5,118.65","","2.89%"
"05/29/2020","5,053.70","4,976.05","5,071.35","4,965.10","","1.26%"
"05/28/2020","4,991.00","4,946.20","4,997.55","4,940.95","","1.43%"
"05/27/2020","4,920.50","4,927.00","4,928.10","4,866.90","","0.34%"
"05/26/2020","4,903.80","4,882.05","4,909.45","4,863.25","","1.13%"
"05/22/2020","4,849.00","4,868.20","4,904.80","4,811.75","","-0.51%"
"05/21/2020","4,873.90","4,860.20","4,915.70","4,854.00","","0.82%"
"05/20/2020","4,834.15","4,774.60","4,844.35","4,766.75","","1.42%"
"05/19/2020","4,766.70","4,811.20","4,828.90","4,755.75","","0.27%"
"05/18/2020","4,753.85","4,967.00","4,967.45","4,747.75","","-3.92%"
"05/15/2020","4,948.05","4,987.65","4,989.60","4,933.15","","-0.26%"
"05/14/2020","4,960.85","4,960.10","5,006.55","4,941.50","","-0.45%"
"05/13/2020","4,983.10","5,058.55","5,058.55","4,937.05","","1.91%"
"05/12/2020","4,889.60","4,908.80","4,910.35","4,827.10","","-0.66%"
"05/11/2020","4,921.85","4,942.80","4,966.15","4,913.35","","0.40%"
"05/08/2020","4,902.25","4,978.75","4,989.15","4,895.45","","-0.36%"
"05/07/2020","4,919.85","4,934.50","4,985.95","4,914.80","","-0.48%"
"05/06/2020","4,943.65","4,943.70","4,974.35","4,874.95","","0.52%"
"05/05/2020","4,918.05","5,016.75","5,042.50","4,912.15","","-0.65%"
"05/04/2020","4,950.30","5,015.05","5,017.30","4,928.30","","-3.87%"
"04/30/2020","5,149.60","5,132.65","5,188.30","5,127.05","","1.80%"
"04/29/2020","5,058.30","5,026.35","5,068.30","5,015.30","","1.23%"
"04/28/2020","4,996.90","4,990.80","5,008.15","4,934.25","","1.13%"
"04/27/2020","4,941.00","4,913.05","4,947.95","4,904.65","","1.68%"
"04/24/2020","4,859.25","4,904.75","4,934.30","4,853.85","","-1.74%"
"04/23/2020","4,945.55","4,924.15","5,009.05","4,922.30","","1.12%"
"04/22/2020","4,890.55","4,854.05","4,898.40","4,796.00","","0.69%"
"04/21/2020","4,856.80","4,926.50","4,926.50","4,836.95","","-2.90%"
"04/20/2020","5,001.85","5,034.55","5,067.15","4,978.35","","0.48%"
"04/17/2020","4,978.15","5,002.50","5,036.35","4,935.40","","2.22%"
"04/16/2020","4,869.90","4,786.05","4,886.70","4,761.95","","1.55%"
"04/15/2020","4,795.60","4,796.30","4,893.45","4,758.90","","1.32%"
"04/13/2020","4,733.05","4,823.35","4,823.35","4,676.20","","-1.11%"
"04/09/2020","4,786.25","4,726.80","4,796.40","4,721.85","","3.22%"
"04/08/2020","4,637.10","4,557.60","4,762.40","4,528.80","","1.65%"
"04/07/2020","4,561.85","4,498.20","4,567.05","4,440.65","","4.81%"
"04/03/2020","4,352.35","4,435.60","4,439.75","4,339.85","","-1.34%"
"04/01/2020","4,411.65","4,504.90","4,510.30","4,380.80","","-1.82%"
"03/31/2020","4,493.25","4,472.40","4,507.35","4,398.10","","2.51%"
"03/30/2020","4,383.25","4,407.70","4,439.85","4,337.15","","-2.36%"
"03/27/2020","4,489.05","4,646.80","4,693.20","4,431.15","","-0.39%"
"03/26/2020","4,506.80","4,390.55","4,574.20","4,340.20","","3.67%"
"03/25/2020","4,347.05","4,136.65","4,355.30","4,136.65","","3.28%"
"03/24/2020","4,208.90","4,282.55","4,319.15","4,088.05","","1.03%"
"03/23/2020","4,165.90","4,381.10","4,504.05","4,158.60","","-13.03%"
"03/20/2020","4,790.30","4,618.50","4,826.40","4,562.55","","4.36%"
"03/19/2020","4,590.20","4,553.55","4,689.55","4,418.70","","-4.01%"
"03/18/2020","4,782.15","5,101.85","5,132.15","4,735.80","","-5.37%"
