"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","02 Nov 2020","-","-","-","5300.73"
"NIFTY TOTAL MARKET","30 Oct 2020","-","-","-","5293.57"
"NIFTY TOTAL MARKET","29 Oct 2020","-","-","-","5299.72"
"NIFTY TOTAL MARKET","28 Oct 2020","-","-","-","5321.12"
"NIFTY TOTAL MARKET","27 Oct 2020","-","-","-","5384.89"
"NIFTY TOTAL MARKET","26 Oct 2020","-","-","-","5330.25"
"NIFTY TOTAL MARKET","23 Oct 2020","-","-","-","5403.29"
"NIFTY TOTAL MARKET","22 Oct 2020","-","-","-","5383.08"
"NIFTY TOTAL MARKET","21 Oct 2020","-","-","-","5388.76"
"NIFTY TOTAL MARKET","20 Oct 2020","-","-","-","5375.84"
"NIFTY TOTAL MARKET","19 Oct 2020","-","-","-","5362.52"
"NIFTY TOTAL MARKET","16 Oct 2020","-","-","-","5316.49"
"NIFTY TOTAL MARKET","15 Oct 2020","-","-","-","5274.76"
"NIFTY TOTAL MARKET","14 Oct 2020","-","-","-","5392.22"
"NIFTY TOTAL MARKET","13 Oct 2020","-","-","-","5377.46"
"NIFTY TOTAL MARKET","12 Oct 2020","-","-","-","5382.10"
"NIFTY TOTAL MARKET","09 Oct 2020","-","-","-","5385.80"
"NIFTY TOTAL MARKET","08 Oct 2020","-","-","-","5364.94"
"NIFTY TOTAL MARKET","07 Oct 2020","-","-","-","5333.95"
"NIFTY TOTAL MARKET","06 Oct 2020","-","-","-","5317.30"
"NIFTY TOTAL MARKET","05 Oct 2020","-","-","-","5258.77"
"NIFTY TOTAL MARKET","01 Oct 2020","-","-","-","5228.33"
"NIFTY TOTAL MARKET","30 Sep 2020","-","-","-","5162.48"
"NIFTY TOTAL MARKET","29 Sep 2020","-","-","-","5150.52"
"NIFTY TOTAL MARKET","28 Sep 2020","-","-","-","5155.93"
"NIFTY TOTAL MARKET","25 Sep 2020","-","-","-","5059.61"
"NIFTY TOTAL MARKET","24 Sep 2020","-","-","-","4942.48"
"NIFTY TOTAL MARKET","23 Sep 2020","-","-","-","5080.38"
"NIFTY TOTAL MARKET","22 Sep 2020","-","-","-","5090.75"
"NIFTY TOTAL MARKET","21 Sep 2020","-","-","-","5146.21"
"NIFTY TOTAL MARKET","18 Sep 2020","-","-","-","5283.56"
"NIFTY TOTAL MARKET","17 Sep 2020","-","-","-","5287.53"
"NIFTY TOTAL MARKET","16 Sep 2020","-","-","-","5323.82"
"NIFTY TOTAL MARKET","15 Sep 2020","-","-","-","5291.28"
"NIFTY TOTAL MARKET","14 Sep 2020","-","-","-","5247.05"
"NIFTY TOTAL MARKET","11 Sep 2020","-","-","-","5219.25"
"NIFTY TOTAL MARKET","10 Sep 2020","-","-","-","5204.52"
"NIFTY TOTAL MARKET","09 Sep 2020","-","-","-","5132.34"
"NIFTY TOTAL MARKET","08 Sep 2020","-","-","-","5155.17"
"NIFTY TOTAL MARKET","07 Sep 2020","-","-","-","5183.05"
"NIFTY TOTAL MARKET","04 Sep 2020","-","-","-","5182.48"
"NIFTY TOTAL MARKET","03 Sep 2020","-","-","-","5268.80"
"NIFTY TOTAL MARKET","02 Sep 2020","-","-","-","5259.47"
"NIFTY TOTAL MARKET","01 Sep 2020","-","-","-","5216.48"
